Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Log(MSRP)
BMW,1 Series,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,44400,10.70101727068921
BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,19,3916,37200,10.524090921620362
BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,25,18,3916,48250,10.784171831940965
BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,43550,10.681687944129537
Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,7.601402334583733
Audi,100,1992,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,7.601402334583733
Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,7.601402334583733
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,7.601402334583733
Audi,100,1993,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,7.601402334583733
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,7.601402334583733
Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,7.601402334583733
Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,7.601402334583733
Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,22,17,3105,2000,7.601402334583733
Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,7.601402334583733
Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,7.601402334583733
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,27495,10.22179581852967
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,24995,10.126471091048971
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,28195,10.246935402893767
Mercedes-Benz,190-Class,1991,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,7.601402334583733
Mercedes-Benz,190-Class,1991,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,7.601402334583733
Mercedes-Benz,190-Class,1992,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,7.601402334583733
Mercedes-Benz,190-Class,1992,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,7.601402334583733
Mercedes-Benz,190-Class,1993,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,7.601402334583733
Mercedes-Benz,190-Class,1993,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,7.601402334583733
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,32850,10.39973746484973
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,Convertible,34,23,3916,38650,10.562327926902078
BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750,10.79448098903612
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,34850,10.458837110181584
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,Convertible,34,22,3916,40650,10.612778714919378
BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916,44150,10.695370855832223
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,34,22,3916,32850,10.39973746484973
BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916,46150,10.739673908168612
BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750,10.834686601143401
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450,10.746153272535546
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,49050,10.800615852145526
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,51050,10.840580412039547
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450,10.702142737876844
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,34,23,3916,38950,10.570059724910275
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,24,3916,33150,10.408828161071545
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,33,24,3916,35150,10.467408346336265
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,Convertible,33,23,3916,40950,10.620131509007471
Audi,200,1990,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000,7.601402334583733
Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Wagon,22,15,3105,2000,7.601402334583733
Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,23,15,3105,2000,7.601402334583733
Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,22,16,3105,2000,7.601402334583733
Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Wagon,22,16,3105,2000,7.601402334583733
Audi,200,1991,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000,7.601402334583733
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25170,10.13344781717726
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,23950,10.083765355620846
Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29370,10.287763071961688
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,9.998615897627705
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,36,23,1013,26625,10.189643460991862
Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,30825,10.336113768706666
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,9.998615897627705
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795,10.232647404434218
Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,31785,10.366781220256765
Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29905,10.305814408143789
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490,10.020870508171171
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27570,10.22451977466945
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690,10.15389601499835
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490,10.106060982105628
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,29905,10.305814408143789
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,31785,10.366781220256765
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,26685,10.191894362302365
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490,10.020870508171171
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690,10.15389601499835
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,30900,10.33854382482173
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795,10.232647404434218
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,9.998615897627705
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490,10.106060982105628
Nissan,200SX,1996,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Not Available,Compact,Coupe,36,26,2009,2000,7.601402334583733
Nissan,200SX,1996,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000,7.601402334583733
Nissan,200SX,1997,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000,7.601402334583733
Nissan,200SX,1997,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Not Available,Compact,Coupe,35,25,2009,2000,7.601402334583733
Nissan,200SX,1998,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Not Available,Compact,Coupe,35,25,2009,2000,7.601402334583733
Nissan,200SX,1998,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,28,20,2009,2073,7.637234388789473
Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3713,8.219864741912652
Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3520,8.166500319155052
Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3910,8.271548374755515
Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4182,8.338783971442199
Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4107,8.32069157104845
Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4299,8.366370301681654
Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4693,8.454040376410969
Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4107,8.32069157104845
Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000,7.601402334583733
Volvo,240,1991,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,23,18,870,2000,7.601402334583733
Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,7.601402334583733
Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,7.601402334583733
Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000,7.601402334583733
Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,7.601402334583733
Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,25,18,870,2000,7.601402334583733
Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16020,9.681655640646714
Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14530,9.584039577320695
Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,16860,9.732758541777981
Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15370,9.640237896224932
Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050,9.743964132018151
Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560,9.65252306301951
Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210,9.693445303141573
Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720,9.597030324758013
Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050,9.743964132018151
Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560,9.65252306301951
Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210,9.693445303141573
Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720,9.597030324758013
BMW,3 Series Gran Turismo,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,47250,10.763229096719098
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850,10.641870970494749
BMW,3 Series Gran Turismo,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22,3916,43000,10.668978650219241
BMW,3 Series Gran Turismo,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49200,10.803669227477098
BMW,3 Series Gran Turismo,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49650,10.8127738102574
BMW,3 Series Gran Turismo,2017,premium unleaded (required),248.0,4.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,23,3916,43950,10.69083065598303
BMW,3 Series,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,33,22,3916,41950,10.6442575495135
BMW,3 Series,2015,premium unleaded (required),335.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916,50150,10.822793733370741
BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500,10.53212287826962
BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,43750,10.686269748667398
BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000,10.571342565808699
BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,22,3916,39500,10.584081267024454
BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,34950,10.461702359555922
BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,30,20,3916,45750,10.730968928388284
BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,43,31,3916,43450,10.679389145388422
BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,43,31,3916,41000,10.62135173563291
BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,32950,10.402776888483789
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,41850,10.641870970494749
BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,47800,10.774801838762809
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,39850,10.592902778006396
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350,10.554535882074735
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,34,22,3916,40350,10.605371456538457
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350,10.554535882074735
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,34,22,3916,42650,10.660805999303808
BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,33150,10.408828161071545
BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,35150,10.467408346336265
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44150,10.695370855832223
BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,45800,10.732061203925053
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,23,3916,38750,10.564911840900125
BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,34,23,3916,35450,10.475906740307126
BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,33450,10.417836960475736
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,23,3916,40750,10.615235658245211
BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,42250,10.651383301144275
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,33,23,3916,42950,10.667815210028436
BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,40250,10.602890127258581
BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,21,3916,49900,10.817796321618971
BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,47900,10.776891660007811
BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44450,10.702142737876844
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2232,7.711101251840158
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,20,15,617,2000,7.601402334583733
Mercedes-Benz,300-Class,1991,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,17,617,2000,7.601402334583733
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,20,15,617,2105,7.652545692693921
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,18,15,617,2199,7.696212639346407
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,16,617,2000,7.601402334583733
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2124,7.661527081358517
Mercedes-Benz,300-Class,1991,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,14,617,3552,8.175547596021026
Mercedes-Benz,300-Class,1991,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,22,15,617,2179,7.687080155783135
Mercedes-Benz,300-Class,1991,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,30,23,617,2000,7.601402334583733
